cle,Name-Nom,Role-Rôle, Amount-Montant ,Fiscal_Year-Exercice_financier,Institution,Établissement,Province_ID,Province_EN,Province_FR,Competition_Year-Année_du_concours,Title-Titre,Keywords-Mots-clés,Program,Programme,Discipline_EN,Discipline_FR,Main_Discipline,Discipline_principale,Area_of_Research,Domaine_de_recherche
54436,"Trépanier-Jobin, Gabrielle",Individual," $21,049 ",2019,Université du Québec à Montréal,Université du Québec à Montréal,QC,Quebec,Québec,2019,La place des femmes dans l'industrie du jeu vidéo au Québec,(1) Industrie du jeu vidéo; (2) Femme; (3) Genre; (4) Rapport de genre; (5) Sexisme; (6) Discrimination; (7) Égalité; (8) Québec,Insight Development Grant,Subventions de développement Savoir,Women's Studies,Études sur les femmes,Interdisciplinary Studies,Études pluridisciplinaires,Women,Femmes
54437,"Bruner, Brenda",Individual," $36,931 ",2019,Nipissing University,Nipissing University,ON,Ontario,Ontario,2019,The Tim Bit Effect: Exploring food rewards and the role it plays on children's motivation to participate in sport.,(1) Motivation; (2) Youth Sport; (3) Children; (4) Food; (5) Parents; (6) Perceptions; (7) Coaches; (8) Food Sponsorship,Insight Development Grant,Subventions de développement Savoir,Sports Psychology,Psychologie du sport,Psychology,Psychologie,Children,Enfance
54438,"LaDonna, Kori",Individual," $20,855 ",2019,University of Ottawa,Université d'Ottawa,ON,Ontario,Ontario,2019,"Drawing Intersectional Connections: #MeToo, Competence, & Women in Medicine",(1) Intersectionality; (2) Gender-based discrimination; (3) Women in Medicine; (4) Arts-based research; (5) Constructivist Grounded Theory; (6) #MeToo,Insight Development Grant,Subventions de développement Savoir,Education,Éducation,Education,Éducation,Women,Femmes
54439,"Mansour, Sari",Individual," $30,934 ",2019,Télé-université,Télé-université,QC,Quebec,Québec,2019,La réorganisation du travail pourra-t-elle rendre les conditions de travail attrayantes et améliorer le bien-être dans les milieux de la santé au Québec ?,(1) Ratio professionnel/patiant; (2) Condition de travail attryantes; (3) Soins de qualité et sécuritaires; (4) Épuisement professionnel; (5) Rétention du personnel; (6) Autonomie; (7) Réorganisation du travail,Insight Development Grant,Subventions de développement Savoir,Personnel Management,Gestion du personnel,"Management, Business, Administrative Studies","Sciences administratives, gestion des affaires et commerce",Employment and labour,Emploi et travail
54440,"Dionisi, Angela",Individual," $29,513 ",2019,Carleton University,Carleton University,ON,Ontario,Ontario,2019,Workplace sexual harassment and the family: Family-specific consequences and family as a foundational intervention,(1) Workplace Sexual Harassment; (2) Work-Family,Insight Development Grant,Subventions de développement Savoir,Organizational Behaviour,Comportement organisationnel,"Management, Business, Administrative Studies","Sciences administratives, gestion des affaires et commerce",Employment and labour,Emploi et travail
54441,"Kuzhabekova, Aliya",Individual," $26,302 ",2019,Carleton University,Carleton University,ON,Ontario,Ontario,2019,An analysis of the employment and career development experiences of Canadian immigrant youth,(1) immigrants; (2) management; (3) careers; (4) youth; (5) social networks; (6) global mobility,Insight Development Grant,Subventions de développement Savoir,International Business,Commerce international,"Management, Business, Administrative Studies","Sciences administratives, gestion des affaires et commerce",Immigration,Immigration
54442,"Sakka, Ouafa",Individual," $19,038 ",2019,Carleton University,Carleton University,ON,Ontario,Ontario,2019,What factors challenge the quality of internal audit: the case of the Canadian federal government,(1) Internal Audit; (2) Public Sector; (3) Canada; (4) Governmentality; (5) Ethics; (6) Auditor independence; (7) Public policy,Insight Development Grant,Subventions de développement Savoir,"Management, Business, Administrative Studies","Sciences administratives, gestion des affaires et commerce","Management, Business, Administrative Studies","Sciences administratives, gestion des affaires et commerce",Management,Gestion
54443,"Callery, Patrick",Individual," $19,604 ",2019,Carleton University,Carleton University,ON,Ontario,Ontario,2019,Corporate Accountability in Voluntary Carbon Emissions Reduction,(1) Carbon emissions; (2) Climate change; (3) Corporate environmental strategy; (4) Corporate transparency; (5) Paris Agreement; (6) Voluntary corporate disclosure; (7) Symbolic management,Insight Development Grant,Subventions de développement Savoir,Management,Gestion,"Management, Business, Administrative Studies","Sciences administratives, gestion des affaires et commerce",Environment and Sustainability,Environnement et développement durable
54444,"Rojas-Méndez, José",Individual," $22,323 ",2019,Carleton University,Carleton University,ON,Ontario,Ontario,2019,Consumer Xenocentrism: Antecedents and Consequences,(1) International business; (2) International marketing; (3) Consumer behavior; (4) Xenocentrism,Insight Development Grant,Subventions de développement Savoir,International Business,Commerce international,"Management, Business, Administrative Studies","Sciences administratives, gestion des affaires et commerce",Economic and Regional Development,Développement économique et régional
54445,"Thériault, Mélissa",Individual," $10,637 ",2019,Université du Québec à Trois-Rivières,Université du Québec à Trois-Rivières,QC,Quebec,Québec,2019,Un autre discours sur la méthode : l'autofiction comme réponse à l'exclusion générique des femmes en philosophie,(1) philosophie; (2) littérature; (3) sociologie de l'art; (4) recherche-création; (5) sexisme; (6) légitimité culturelle; (7) genre littéraire; (8) marginalisation; (9) femmes; (10) esthétique,Insight Development Grant,Subventions de développement Savoir,Women's Studies,Études sur les femmes,Interdisciplinary Studies,Études pluridisciplinaires,Arts and culture,Beaux-arts et culture
54446,"Al Guindy, Mohamed",Individual," $27,071 ",2019,Carleton University,Carleton University,ON,Ontario,Ontario,2019,The Social Internetwork,(1) Finance; (2) Networks; (3) Social Media,Insight Development Grant,Subventions de développement Savoir,"Management, Business, Administrative Studies","Sciences administratives, gestion des affaires et commerce","Management, Business, Administrative Studies","Sciences administratives, gestion des affaires et commerce",Financial and Monetary Systems,Systèmes financiers et monétaires
54447,"Holden, Joshua",Individual," $26,910 ",2019,University Blue Quills,University Blue Quills,AB,Alberta,Alberta,2019,Toward a User-Friendly Explanatory Combinatorial Bidirectional Denesuliné-English Dictionary,(1) Linguistics; (2) Ethnolinguistics; (3) Lexicology; (4) Lexicography; (5) Semantics; (6) Bilingual Education; (7) First Nations Education; (8) Indigenous Language Documentation; (9) Syntax; (10) Lexical Relations,Insight Development Grant,Subventions de développement Savoir,Semantics,Sémantique,Linguistics,Linguistique,Indigenous peoples,Populations autochtones
54448,"Miller, James",Individual," $41,929 ",2019,OCAD University,OCAD University,ON,Ontario,Ontario,2019,Indigenous Placemaking in the Marshallese Climate Diaspora,(1) Placemaking; (2) Marshallese Diaspora; (3) Climate change; (4) displacement; (5) resettlement; (6) indigenous knowledge; (7) architecture; (8) urban planning; (9) design; (10) sustainability,Insight Development Grant,Subventions de développement Savoir,Architecture,Architecture,Fine Arts,Beaux-arts,Indigenous peoples,Populations autochtones
54449,"Mastroeni, Michele",Individual," $29,438 ",2019,OCAD University,OCAD University,ON,Ontario,Ontario,2019,Smart Specialization in Non-Metro Canadian Regions,(1) non-metropolitan; (2) rural; (3) systems of innovation; (4) innovation policy; (5) regional development; (6) smart specialization; (7) post-secondary institutions; (8) evolutionary institutionalism; (9) foresight; (10) strategy framework,Insight Development Grant,Subventions de développement Savoir,Public Policy Studies,Analyse de politique,Political Science,Sciences politiques,Economic and Regional Development,Développement économique et régional
54450,"Hilario, Carla",Individual," $31,734 ",2019,University of Alberta,University of Alberta,AB,Alberta,Alberta,2019,Strategic Foresights for Canada's Reconciliation Futures: Engaging Indigenous and Newcomer Youth,(1) reconciliation; (2) newcomers; (3) community-based participatory research; (4) critical design; (5) foresight strategy; (6) youth engagement; (7) critical race theory; (8) anti-racism; (9) decolonization,Insight Development Grant,Subventions de développement Savoir,Interdisciplinary Studies,Études pluridisciplinaires,Interdisciplinary Studies,Études pluridisciplinaires,Indigenous peoples,Populations autochtones
54451,"Barrett, M.J.",Individual," $33,998 ",2019,University of Saskatchewan,University of Saskatchewan,SK,Saskatchewan,Saskatchewan,2019,Deepening connection in pursuit of environmental sustainability: Assessing a promising lever for shifting assumptions of separation,(1) human-animal relations; (2) human-animal dualism; (3) leverage points theory; (4) anthropocene; (5) phenomenology; (6) paradigm shift; (7) sustainability; (8) animal communicator; (9) human-animal bond; (10) social ecology,Insight Development Grant,Subventions de développement Savoir,Interdisciplinary Studies,Études pluridisciplinaires,Interdisciplinary Studies,Études pluridisciplinaires,Environment and Sustainability,Environnement et développement durable
54452,"Wright, Laura",Individual," $25,515 ",2019,University of Saskatchewan,University of Saskatchewan,SK,Saskatchewan,Saskatchewan,2019,Educational Differences in the Second Half of the Gender Revolution in Canada,(1) Family; (2) Gender; (3) Social demography; (4) Education; (5) Division of Labour; (6) Egalitarian,Insight Development Grant,Subventions de développement Savoir,Demography,Démographie,Demography,Démographie,Family,Famille
54453,"Petrovskaya, Olga",Individual," $24,173 ",2019,University of Alberta,University of Alberta,AB,Alberta,Alberta,2019,The politics of medical digital technology: The case of Alberta's Personal Health Record.,(1) Medical digital technology; (2) electronic Personal Health Record; (3) eHealth; (4) situational analysis; (5) socio-materiality; (6) Canada,Insight Development Grant,Subventions de développement Savoir,Health Systems and Society,Systèmes des soins médicaux et société,Sociology,Sociologie,Information Technologies,Technologies de l'information
54454,"Lafortune, Denis",Individual," $31,360 ",2019,Université de Montréal,Université de Montréal,QC,Quebec,Québec,2019,"Les jeunes en difficulté et faisant l'objet d'une double prise en charge judiciaire : parcours de vie, trajectoires dans les services et pratiques professionnelles",(1) adolescents; (2) protection de la jeunesse; (3) justice pénale; (4) services sociaux; (5) double prise en charge; (6) trajectoire; (7) parcours; (8) pratiques professionnelles; (9) maltraitance; (10) délinquance,Insight Development Grant,Subventions de développement Savoir,Delinquency,Délinquance,Criminology,Criminologie,Youth,Jeunesse
54455,"Letham, Bryn",Individual," $39,417 ",2019,Simon Fraser University,Simon Fraser University,BC,British Columbia,Colombie-Britannique,2019,"Tracing Origins on the Pacific Coast of North America: Archaeology, Geology, and Indigenous Oral History of Gitga'at Cultural Keystone Places",(1) Northwest Coast; (2) Archaeology; (3) historical ecology; (4) sea level change; (5) glacial history; (6) landscape archaeology; (7) indigenous archaeology; (8) oral histories; (9) paleoenvironmental reconstruction; (10) settlement patterns,Insight Development Grant,Subventions de développement Savoir,Environmental Archaeology,Archéologie de l'environnement,Archaeology,Archéologie,Indigenous peoples,Populations autochtones
54456,"Pugliese, Maude",Individual," $34,110 ",2019,Institut national de la recherche scientifique,Institut national de la recherche scientifique,QC,Quebec,Québec,2019,"Familles et finances: un examen des liens entre les nouvelles dynamiques familiales, la décroissance de l'épargne et l'augmentation de l'endettement",(1) Endettement des ménages; (2) Entraide au sein de la parenté; (3) Relations intergénérationnelles; (4) Entraide au sein des couples; (5) Sociologie de la famille; (6) Sociologie de la finance; (7) Épargnes des ménages,Insight Development Grant,Subventions de développement Savoir,Social Structure,Structures sociales,Sociology,Sociologie,Family,Famille
54457,"Gagnon, Nathalie",Individual," $21,440 ",2019,Université du Québec à Rimouski,Université du Québec à Rimouski,QC,Quebec,Québec,2019,Les sources et les stratégies de développement du sentiment d'efficacité personnelle : analyse du cas des nouveaux enseignants de la formation professionnelle,(1) Sentiment d'efficacité personnelle; (2) Sentiment d'auto-efficacité; (3) Formation professionnelle; (4) Enseignement professionnel; (5) Insertion professionnelle; (6) Nouveaux enseignants,Insight Development Grant,Subventions de développement Savoir,Vocational Education,Éducation professionnelle,Education,Éducation,Education,Éducation
54458,"Maclure, Jocelyn",Individual," $11,779 ",2019,Université Laval,Université Laval,QC,Quebec,Québec,2019,L' « explicabilité » des algorithmes d'intelligence artificielle : une analyse éthique conceptuelle et normative,(1) Intelligence artificielle; (2) Éthique; (3) Philosophie; (4) Apprentissage automatique; (5) Explicabilité; (6) Justification; (7) Algorithme d'apprentissage profond; (8) Normes éthiques; (9) Raison publique; (10) Acceptabilité sociale,Insight Development Grant,Subventions de développement Savoir,Ethics,Éthique,Philosophy,Philosophie,Ethics,Éthique
54459,"Lafreniere, Ginette",Individual," $26,055 ",2019,Wilfrid Laurier University,Wilfrid Laurier University,ON,Ontario,Ontario,2019,Reimagining the Menopausal Narrative through a Docu-Theatre Initiative,(1) innovative; (2) arts-based; (3) disrupting; (4) narrative; (5) feminist; (6) menopause; (7) aging; (8) societal discourse; (9) women; (10) intersectionality,Insight Development Grant,Subventions de développement Savoir,Community Development,Développement communautaire,Social Work,Travail social,Women,Femmes
54460,"Rotz, Sarah",Individual," $39,658 ",2019,York University,Université York,ON,Ontario,Ontario,2019,"Creating food sovereignty through rematriation, land sharing and decolonized relationship building",(1) Indigenous food systems; (2) land sovereignty; (3) food sovereignty; (4) Community-based participatory action research; (5) decolonization; (6) Canada; (7) relationships; (8) settler colonialism; (9) food justice; (10) reconciliation,Insight Development Grant,Subventions de développement Savoir,Social/Cultural Geography,Géographie sociale/culturelle,Geography,Géographie,Social development and welfare,Développement social et bien-être
54461,"El Fadil, Jalal",Individual," $32,554 ",2019,Université du Québec à Rimouski,Université du Québec à Rimouski,QC,Quebec,Québec,2019,La gestion des risques associés aux projets d'exportation des PME québécoises vers des pays émergents,(1) Gestion des risques; (2) Internationalisation des PME; (3) Entrepreneuriat international; (4) Identification et analyse des risques; (5) Exportation vers les pays émergents,Insight Development Grant,Subventions de développement Savoir,Management,Gestion,"Management, Business, Administrative Studies","Sciences administratives, gestion des affaires et commerce",Management,Gestion
54462,"Superle, Michelle",Individual," $13,979 ",2019,University of the Fraser Valley,University of the Fraser Valley,BC,British Columbia,Colombie-Britannique,2019,From Rural Idyll to Food Sovereignty: Assessing the Impact of Agricultural Portrayals in Children's Picture Books,(1) Picture Books; (2) Rural Idyll; (3) Food Sovereignty; (4) Agricultural Land Use; (5) Food Systems Education; (6) Children's Rights; (7) Participatory Research,Insight Development Grant,Subventions de développement Savoir,"Literature, Comparative",Littérature comparée,"Literature, Modern Languages and",Littératures et langues modernes,Children,Enfance
54463,"Friesen, Aileen",Individual," $28,964 ",2019,The University of Winnipeg,The University of Winnipeg,MB,Manitoba,Manitoba,2019,The Politics of Providence: Mobility and Russian Mennonites,(1) Migration history; (2) ethnic minorities; (3) settler colonialism,Insight Development Grant,Subventions de développement Savoir,Cultural History,Histoire culturelle,History,Histoire,Immigration,Immigration
54464,"Brès, Luc",Individual," $25,685 ",2019,Université Laval,Université Laval,QC,Quebec,Québec,2019,Les pratiques de marchandisation responsable : analyse multi-cas du marché de la biodiversité,(1) Responsabilité sociale d'entreprise; (2) Biodiversité; (3) Marchandisation; (4) Développement durable; (5) Prespective pratique; (6) Gouvernance; (7) Approche de marché; (8) Praticiens RSE,Insight Development Grant,Subventions de développement Savoir,Environment,Environnement,"Management, Business, Administrative Studies","Sciences administratives, gestion des affaires et commerce",Environment and Sustainability,Environnement et développement durable
54465,"Rizvi, Sana",Individual," $22,601 ",2019,University of New Brunswick,University of New Brunswick,NB,New Brunswick,Nouveau-Brunswick,2019,The Role of Mindfulness in Offender Apologies,(1) Workplace Conflict; (2) Conflict Management/Resolution; (3) Offender Apology; (4) Interpersonal Transgressions; (5) Co-worker Relationships; (6) Mindfulness,Insight Development Grant,Subventions de développement Savoir,Organizational Behaviour,Comportement organisationnel,"Management, Business, Administrative Studies","Sciences administratives, gestion des affaires et commerce",Management,Gestion
54466,"Shane, Matthew",Individual," $31,282 ",2019,Ontario Tech University (University of Ontario Institute of Technology),Ontario Tech University (University of Ontario Institute of Technology),ON,Ontario,Ontario,2019,Using Functional Magnetic Resonance Imaging (fMRI) to Evaluate the Existence of Virtuous and Non-virtuous Motives to Empathize,(1) empathy; (2) motivation; (3) caring; (4) concern; (5) manipulation; (6) fMRI; (7) social neuroscience,Insight Development Grant,Subventions de développement Savoir,Psychology,Psychologie,Psychology,Psychologie,Social development and welfare,Développement social et bien-être
54467,"Roduta Roberts, Mary",Individual," $30,794 ",2019,University of Alberta,University of Alberta,AB,Alberta,Alberta,2019,Disruptive Education: Development and Impact of a Virtual Reality Simulation to Enhance Student Performance in a Practice-Based Skills Examination,(1) Virtual Reality; (2) Simulation; (3) Performance Assessment; (4) Higher education; (5) Professional education; (6) Competencies; (7) Well-being,Insight Development Grant,Subventions de développement Savoir,Health Sciences Education,Enseignement des sciences de la santé,Education,Éducation,Education,Éducation
54468,"Klassen, Sarah",Individual," $38,700 ",2019,The University of British Columbia,The University of British Columbia,BC,British Columbia,Colombie-Britannique,2019,Koh Ker Archaeological Project,(1) Archaeology; (2) ground penetrating radar; (3) excavation; (4) Khmer Empire; (5) urbanism; (6) water management; (7) geospatial analysis; (8) lidar; (9) medieval; (10) Southeast Asia,Insight Development Grant,Subventions de développement Savoir,Archaeology,Archéologie,Archaeology,Archéologie,Arts and culture,Beaux-arts et culture
54469,"Bhutani, Neha",Individual," $23,585 ",2019,McGill University,Université McGill,QC,Quebec,Québec,2019,Investigating the role of neighbourhood and social environment on brain and cognitive outcomes,(1) neighbourhood safety; (2) socioeconomic status; (3) child development; (4) brain development; (5) resilience; (6) magnetic resonance imaging,Insight Development Grant,Subventions de développement Savoir,Interdisciplinary Studies,Études pluridisciplinaires,Interdisciplinary Studies,Études pluridisciplinaires,Mental Health,Santé mentale
54470,"Benedicto, Bobby",Individual," $27,539 ",2019,McGill University,Université McGill,QC,Quebec,Québec,2019,Authoritarian Nostalgia and the Return of the 'Strongman': The Case of the Philippines,(1) nostalgia; (2) cultural memory; (3) authoritarianism; (4) dictatorship; (5) media; (6) democracy,Insight Development Grant,Subventions de développement Savoir,Content and Discourse Analysis,Analyse du discours et des messages médiatisés,Communications and Media Studies,Communications et études des médias,Communication,Communications
54471,"Maier, Katharina",Individual," $27,110 ",2019,The University of Winnipeg,The University of Winnipeg,MB,Manitoba,Manitoba,2019,"Managing the ""Crisis"": Framings of and Responses to Meth and Meth-Related Crime in Winnipeg, MB",(1) Drugs; (2) Crisis; (3) Policing; (4) Penal Governance; (5) Corrections; (6) Social Welfare; (7) Poverty; (8) Crime; (9) Violence; (10) Public Policy,Insight Development Grant,Subventions de développement Savoir,"Penology, Corrections","Pénologie, système correctionnel",Criminology,Criminologie,Law and Justice,Droit et justice
54472,"Froehlich Chow, Amanda",Individual," $43,024 ",2019,University of Saskatchewan,University of Saskatchewan,SK,Saskatchewan,Saskatchewan,2019,Listening and Learning: Applying a Community-Based Participatory Approach to Design a Physical Literacy Model for Indigenous Older Adults,(1) Indigenous Populations; (2) Older Adults; (3) Rural and Remote; (4) Aging in Place; (5) Physical Literacy; (6) Interdisciplinary; (7) Community Engagement; (8) Community-Based; (9) Community Empowerment; (10) Active Aging,Insight Development Grant,Subventions de développement Savoir,Life Span Development,Psychologie du développement humain,Psychology,Psychologie,Indigenous peoples,Populations autochtones
54473,"Jain, Romi",Individual," $25,052 ",2019,The University of British Columbia,The University of British Columbia,BC,British Columbia,Colombie-Britannique,2019,Quests for Developing Knowledge Economies: A Comparative Study of the Higher Education Reforms in China and India,(1) Knowledge economy; (2) Higher education; (3) India; (4) China; (5) Human Capital; (6) Information and Communication Technology; (7) Institutional regime,Insight Development Grant,Subventions de développement Savoir,Policy Studies,Analyses des politiques,"Management, Business, Administrative Studies","Sciences administratives, gestion des affaires et commerce",Management,Gestion
54474,"Holm, Jennifer",Individual," $38,072 ",2019,Wilfrid Laurier University,Wilfrid Laurier University,ON,Ontario,Ontario,2019,Addressing the mathematical divide: The effectiveness of using innovative resources in supporting best practices of elementary teachers,(1) mathematics education; (2) elementary teachers; (3) reform based mathematics; (4) mathematics pedagogy; (5) mathematics knowledge for teaching,Insight Development Grant,Subventions de développement Savoir,"Science, Mathematics","Sciences, mathématiques",Education,Éducation,Education,Éducation
54475,"Massing, D. Christine",Individual," $24,609 ",2019,University of Regina,University of Regina,SK,Saskatchewan,Saskatchewan,2019,Co-constructing Intercultural Practice with Newcomer Families and Early Childhood Educators,(1) early childhood education; (2) participatory action research; (3) immigrants; (4) refugees; (5) newcomers; (6) family engagement; (7) early childhood educators; (8) interculturalism; (9) critical pedagogy,Insight Development Grant,Subventions de développement Savoir,Early Childhood Education,Éducation préscolaire,Education,Éducation,Education,Éducation
54476,"Funke, Oba",Individual," $38,500 ",2019,University of Regina,University of Regina,SK,Saskatchewan,Saskatchewan,2019,Investigating Schooling Experiences of Black Youth in Saskatoon,(1) black; (2) education; (3) social work; (4) human rights; (5) Africa; (6) Canada; (7) educators; (8) youth; (9) schools,Insight Development Grant,Subventions de développement Savoir,"Educational Administration, Planning and Governance","Administration, planification et direction scolaires",Education,Éducation,Law and Justice,Droit et justice
54477,"Russell, Gale",Individual," $37,614 ",2019,University of Regina,University of Regina,SK,Saskatchewan,Saskatchewan,2019,Valued Kinds of Knowledge and Ways of Knowing in Mathematics Classrooms,(1) Mathematics Education; (2) Teaching and learning of mathematics; (3) Mathematical Ways of Knowing; (4) Mathematical Kinds of Knowledge; (5) Worldviews; (6) Kinds of Knowledge and Ways of Knowing; (7) Culturally responsive mathematics education; (8) Ethnomathematics; (9) Mathematics and Worldviews,Insight Development Grant,Subventions de développement Savoir,"Science, Mathematics","Sciences, mathématiques",Education,Éducation,Education,Éducation
54478,"Jakobsen, Alexander",Individual," $30,778 ",2019,University of Calgary,University of Calgary,AB,Alberta,Alberta,2019,Coarse Bayesianism,(1) Economic theory; (2) Behavioral economics; (3) Belief updating; (4) Cognitive bias,Insight Development Grant,Subventions de développement Savoir,General Economic Theory,Théorie économique,Economics,Science économique,Not Subject to Research Classification,Sans objet
54479,"Shanahan, Marie-Claire",Individual," $24,555 ",2019,University of Calgary,University of Calgary,AB,Alberta,Alberta,2019,"Disability, Augmentative and Alternative Communication (AAC) and Science Education",(1) science education; (2) disability studies; (3) AAC users; (4) scientific modelling; (5) science as practice,Insight Development Grant,Subventions de développement Savoir,"Science, Mathematics","Sciences, mathématiques",Education,Éducation,Education,Éducation
54480,"Caron, Isabelle",Individual," $24,906 ",2019,Dalhousie University,Dalhousie University,NS,Nova Scotia,Nouvelle-Écosse,2019,Women's perception of the Canadian Armed Forces as an obstacle to female retention,(1) women's retention; (2) inclusiveness; (3) organizational culture; (4) Canadian Armed Forces; (5) diversity; (6) perceptions,Insight Development Grant,Subventions de développement Savoir,Public and Non-profit Administration,Administration des organismes publics et sans but lucratif,"Management, Business, Administrative Studies","Sciences administratives, gestion des affaires et commerce",Women,Femmes
54481,"Mohiuddin, Muhammad",Individual," $39,280 ",2019,Thompson Rivers University,Thompson Rivers University,BC,British Columbia,Colombie-Britannique,2019,"Highly-Skilled Self-Initiated expatriate (SIE) Immigrants in Canada: Psychological, Socio-cultural and Organizational Factors of Cultural Adaptation and Job Satisfaction",(1) Self-Initiated Expatriate; (2) Highly Skilled Immigrants; (3) Adaptation; (4) Satisfaction,Insight Development Grant,Subventions de développement Savoir,"Management, Business, Administrative Studies","Sciences administratives, gestion des affaires et commerce","Management, Business, Administrative Studies","Sciences administratives, gestion des affaires et commerce",Employment and labour,Emploi et travail
54482,"martig, alexis",Individual," $22,123 ",2019,Université du Québec à Montréal,Université du Québec à Montréal,QC,Quebec,Québec,2019,Reconnaissance sociale des minorités francophones au Canada et droits à l'éducation en français : mobilisations sociales de l'Alberta à l'Ontario.,(1) droits; (2) reconnaissance; (3) mémoire; (4) luttes sociale; (5) minorité; (6) francophonie; (7) alberta; (8) ontario,Insight Development Grant,Subventions de développement Savoir,Social Anthropology,Anthropologie sociale,Anthropology,Anthropologie,Law and Justice,Droit et justice
54483,"Lebner, Ashley",Individual," $18,933 ",2019,Wilfrid Laurier University,Wilfrid Laurier University,ON,Ontario,Ontario,2019,Religion and Science in the Remaking of the National Museum: Cultures of Knowledge in Imperial and Contemporary Brazil,(1) Relgion; (2) Science; (3) Museums; (4) Secularism; (5) Secularity; (6) Christianity; (7) Indigenous Knowledge; (8) Afro-Brazilian Knowledge; (9) Expeditions; (10) Empire,Insight Development Grant,Subventions de développement Savoir,Comparative and Cross-cultural Studies,Études comparatives et transculturelles,Anthropology,Anthropologie,Science and technology,Science et technologie
54484,"harol, corrinne",Individual," $25,224 ",2019,University of Alberta,University of Alberta,AB,Alberta,Alberta,2019,"Who Created That? Authorship, Style, Epistemology",(1) Authorship; (2) Authorship Attribution; (3) Statistics; (4) Digital Humanities; (5) Stylometry and Computational Analysis of Text; (6) Thomas Bayes; (7) Epistemology; (8) Theology; (9) Book History; (10) Eighteenth-Century Writing,Insight Development Grant,Subventions de développement Savoir,"Literature, English",Littérature anglaise,"Literature, Modern Languages and",Littératures et langues modernes,Arts and culture,Beaux-arts et culture
54485,"Zhang, Ray",Individual," $66,455 ",2019,Simon Fraser University,Simon Fraser University,BC,British Columbia,Colombie-Britannique,2019,Audit quality and cost of capital: Evidence from a quasi-natural experiment,(1) Private Enforcement; (2) Auditor Litigation Liability; (3) Natural Experipment; (4) Earnings Quality,Insight Development Grant,Subventions de développement Savoir,Accounting,Comptabilité,"Management, Business, Administrative Studies","Sciences administratives, gestion des affaires et commerce",Management,Gestion
54486,"Mancino, Maria Antonella",Individual," $19,652 ",2019,Wilfrid Laurier University,Wilfrid Laurier University,ON,Ontario,Ontario,2019,"Crime, Employment, and Prisoner Reentry Programs",(1) Reentry Programs; (2) Crime; (3) Recidivism; (4) Employment; (5) Youth,Insight Development Grant,Subventions de développement Savoir,Labour and Demographic Economics,Économie du travail et démographie,Economics,Science économique,Employment and labour,Emploi et travail
54487,"Edge, Sara",Individual," $40,964 ",2019,Ryerson University,Ryerson University,ON,Ontario,Ontario,2019,Overcoming inequitable access to healthy built environments: examining immigrant inclusion in the governance of (re)development,(1) immigrant well-being and quality of life; (2) built environments and infrastructure; (3) equity; (4) urban redevelopment; (5) diversity; (6) inclusion; (7) governance and planning; (8) sustainability; (9) city building; (10) environmental justice,Insight Development Grant,Subventions de développement Savoir,Environmental Health,Effets de l'environnement sur la santé,"Urban and Regional Studies, Environmental Studies","Urbanisme, aménagement régional et études environnementales",Immigration,Immigration
54488,"Parmar, Pooja",Individual," $37,870 ",2019,University of Victoria,University of Victoria,BC,British Columbia,Colombie-Britannique,2019,Indigenous Laws as Sources of Ethical Lawyering and Professionalism in Canada,(1) Indigenous Laws; (2) Legal Ethics; (3) Professional responsibility; (4) legal education,Insight Development Grant,Subventions de développement Savoir,Law,Droit,Law,Droit,Law and Justice,Droit et justice
54489,"Doré, Isabelle",Individual," $45,576 ",2019,Université de Montréal,Université de Montréal,QC,Quebec,Québec,2019,Understanding what they want and what works: social support and well-being among men experiencing cancer,(1) Social Support; (2) Well-being; (3) Men's; (4) Social interaction; (5) Social relations; (6) Stressful life event,Insight Development Grant,Subventions de développement Savoir,Social Processes,Interactions sociales,Sociology,Sociologie,Social development and welfare,Développement social et bien-être
54490,"Anctil, Dominic",Individual," $14,619 ",2019,Université de Montréal,Université de Montréal,QC,Quebec,Québec,2019,Des séquences d'intervention pour soutenir l'apprentissage de mots ciblés en classe de français auprès d'élèves de 4e secondaire éprouvant des difficultés langagières,(1) vocabulaire; (2) trouble développemental du langage; (3) difficultés langagières; (4) lecture; (5) enseignement direct; (6) secondaire; (7) difficultés d'apprentissage; (8) lexique; (9) apprentissage du vocabulaire,Insight Development Grant,Subventions de développement Savoir,Education,Éducation,Education,Éducation,Education,Éducation
54491,"Zahedi, Mithra",Individual," $31,771 ",2019,Université de Montréal,Université de Montréal,QC,Quebec,Québec,2019,Improving the integration of novice designers into interdisciplinary collaborative design teams,(1) Collaborative design; (2) Interdisciplinary; (3) Novice designers; (4) Expanded Activity Theory; (5) Design education; (6) Design thinking; (7) Training strategies; (8) Integration; (9) Problem framing; (10) Teamwork,Insight Development Grant,Subventions de développement Savoir,Social Relations,Processus sociaux,Sociology,Sociologie,Science and technology,Science et technologie
