cle,Name-Nom,Role-Rôle, Amount-Montant ,Fiscal_Year-Exercice_financier,Institution,Établissement,Province_ID,Province_EN,Province_FR,Competition_Year-Année_du_concours,Title-Titre,Keywords-Mots-clés,Program,Programme,Discipline_EN,Discipline_FR,Main_Discipline,Discipline_principale,Area_of_Research,Domaine_de_recherche
95542,"Eastwood, Joseph D.",Applicant," $7,286 ",2019,Ontario Tech University (University of Ontario Institute of Technology),Ontario Tech University (University of Ontario Institute of Technology),ON,Ontario,Ontario,2019,Using Science-Based Interviewing Techniques to Generate Accurate and Believable Alibis from Innocent Suspects,alibis; investigative interviewing; justice; evidence-based policing; wrongful convictions,Insight Grants,Subventions Savoir,Other Psychology,Psychologie (autres),Psychology,Psychologie,Law and Justice,Droit et justice
95544,"Elgar, Frank J.",Applicant," $6,359 ",2019,McGill University,Université McGill,QC,Quebec,Québec,2019,"Food insecurity, poverty and wellbeing in adolescents",food insecurity; poverty; subjective wellbeing; adolescence; adolescents,Insight Grants,Subventions Savoir,"Health, Medical Sociology","Santé, sociologie médicale",Sociology,Sociologie,Youth,Jeunesse
95545,"Pope, Spencer",Applicant," $19,631 ",2019,McMaster University,McMaster University,ON,Ontario,Ontario,2019,"Excavation and survey at Incoronata ""Greca"": a study of the indigenous-Greek frontier on the Ionian Coast",Greek archaeology; Greek-Indigenous interactions; frontier of ancient city,Insight Grants,Subventions Savoir,Greek Classical Archaeology,Archéologie classique grecque,"Classics, Classical & Dead Languages",Études anciennes et langues classiques et mortes,Arts and culture,Beaux-arts et culture
95547,"Nandi, Arijit",Applicant," $11,233 ",2019,McGill University,Université McGill,QC,Quebec,Québec,2019,"Evaluating the impact of universal early childhood education policies on adolescent scholastic achievement, health, and well-being in high-income countries",early education; public policy; high-income; OECD; adolescent; scholastic achievement; health; behavior; social inequality; evaluation; quasi-experiment,Insight Grants,Subventions Savoir,Early Childhood Education,Éducation préscolaire,Education,Éducation,Education,Éducation
95549,"Harvey, Blane L.",Applicant," $6,549 ",2019,McGill University,Université McGill,QC,Quebec,Québec,2019,T-Learn: Understanding how facilitated learning supports transdisciplinary action on climate change,social learning; transdisciplinarity; communities of practice; knowledge co-production; facilitation; climate change adaptation; resilience; international development,Insight Grants,Subventions Savoir,Other Education,Éducation (autres),Education,Éducation,Global/Climate Change,Changements climatiques/planétaires
95551,"Connolly, Marie",Applicant," $7,025 ",2019,Université du Québec à Montréal,Université du Québec à Montréal,QC,Quebec,Québec,2019,Socioeconomic Mobility and the Intergenerational Transmission of Income: The Story of Immigrants in Canada,social mobility;intergenerational transmissions;immigration; administrative tax data,Insight Grants,Subventions Savoir,Labour and Demographic Economics,Économie du travail et démographie,Economics,Science économique,Employment and labour,Emploi et travail
95552,"Peetz, Johanna",Applicant," $7,816 ",2019,Carleton University,Carleton University,ON,Ontario,Ontario,2019,Tools of Self-Control: When people use (and when they resist using) strategies to guide financial behaviour,goals; self-control; financial behaviour; research communication; cognitive biases,Insight Grants,Subventions Savoir,Social Psychology,Psychologie sociale,Psychology,Psychologie,Productivity,Productivité
95554,"Kuhlberg, Mark T.",Applicant," $6,441 ",2019,Laurentian University,Université Laurentienne,ON,Ontario,Ontario,2019,"Trusting the Paper Makers: The Globalization of Canada's Newsprint Industry, 1900-1947",pulp and paper industry; globalization; political economy; environmental history; international business,Insight Grants,Subventions Savoir,Political History,Histoire politique,History,Histoire,Globalization,Mondialisation
95555,"Lussier, Patrick",Applicant," $17,123 ",2019,Université Laval,Université Laval,QC,Quebec,Québec,2019,Deconstructing the notion of risk of sexual recidivism : An international observatory of research and practices,crime prevention; criminal justice policy; risk; risk assessment; risk management; sex crimes; sexual recidivism,Insight Grants,Subventions Savoir,Criminology,Criminologie,Criminology,Criminologie,Violence,Violence
95560,"Kilty, Jennifer",Applicant," $4,951 ",2019,University of Ottawa,Université d'Ottawa,ON,Ontario,Ontario,2019,Feeling the Carceral,emotions; affect; carceral spaces; prison; hiv risk environment; carceral geography,Insight Grants,Subventions Savoir,Criminology,Criminologie,Criminology,Criminologie,Law and Justice,Droit et justice
95562,"Van Nort, Douglas",Applicant," $5,625 ",2019,York University,Université York,ON,Ontario,Ontario,2019,Developing and Evaluating Computational Creativity for Collective Musical Improvisation,improvisation; musical AI; computational creativity; distributed creativity,Insight Grants,Subventions Savoir,"Music, Musicology","Musique, Musicologie",Fine Arts,Beaux-arts,Arts and culture,Beaux-arts et culture
95563,"Clark, Shelley",Applicant," $8,580 ",2019,McGill University,Université McGill,QC,Quebec,Québec,2019,Are Rural Americans Disadvantaged? Inequalities in Life Course Trajectories across the Rural-Urban Divide,rural/urban inequalities; life course trajectories; family dynamics; education; financial security; human capital; social capital; cultural capital; rural-urban migration,Insight Grants,Subventions Savoir,Sociology,Sociologie,Sociology,Sociologie,Family,Famille
95565,"White, Bob W.",Applicant," $15,633 ",2019,Université de Montréal,Université de Montréal,QC,Quebec,Québec,2019,"Dynamiques de cohabitation à l'ère de la ""super-diversité""",cohabitation; relations inter-ethniques; migration; villes; approche systémique; pluralisme; Montréal; situations interculturelles,Insight Grants,Subventions Savoir,Comparative and Cross-cultural Studies,Études comparatives et transculturelles,Anthropology,Anthropologie,Multiculturalism and ethnic studies,Multiculturalisme et études ethniques
95566,"Arora, Sandeep",Applicant," $9,444 ",2019,University of Manitoba,University of Manitoba,MB,Manitoba,Manitoba,2019,The Impact of Corporate Political Activities on Customer Mindset Metrics,firm political activity; customer mindset metrics; lobbying; customer satisfaction; regulation,Insight Grants,Subventions Savoir,Marketing,Marketing,"Management, Business, Administrative Studies","Sciences administratives, gestion des affaires et commerce",Management,Gestion
95567,"Norris, Trevor",Applicant," $2,581 ",2019,Brock University,Brock University,ON,Ontario,Ontario,2019,"Education, Democracy, and the Public Good: Neutrality, Freedom of Speech, and the Teaching of Controversial Issues in Philosophy Classrooms",philosophy of education; philosophy; political theory; citizenship; commercialism; consumerism; education; democracy; public; teaching; learning; curriculum,Insight Grants,Subventions Savoir,Philosophy of Education,Philosophie de l'éducation,Education,Éducation,Education,Éducation
95569,"Hayden, Elizabeth P.",Applicant," $19,382 ",2019,Western University (The University of Western Ontario),Western University (The University of Western Ontario),ON,Ontario,Ontario,2019,A developmental approach to understanding sex and gender differences in the evolution of stress exposure and stress sensitivity,stress; gender; development; early environment; youth; children,Insight Grants,Subventions Savoir,Psychology,Psychologie,Psychology,Psychologie,Gender Issues,Questions touchant le genre
95571,"Helms-Park, Rena",Applicant," $1,851 ",2019,University of Toronto,University of Toronto,ON,Ontario,Ontario,2019,Trilingualism in French immersion: predictors of reading success and reading difficulty in a third language,trilingualism; learning how to read; French immersion; heritage language,Insight Grants,Subventions Savoir,Reading and Writing,Lecture et écriture,Education,Éducation,Canada's Official Languages,Langues officielles du Canada
95572,"Johnson, Elizabeth K.",Applicant," $10,399 ",2019,University of Toronto,University of Toronto,ON,Ontario,Ontario,2019,Young children's acquisition of spatial prepositions,word learning; language acquisition; preposition; infants and toddlers; eye tracking,Insight Grants,Subventions Savoir,Language Acquisition,Acquisition du langage,Linguistics,Linguistique,Children,Enfance
95573,"Yu, Haomiao",Applicant," $1,766 ",2019,Ryerson University,Ryerson University,ON,Ontario,Ontario,2019,Comparison of Information Structures and the Role of Public Information,information structures; welfare; financial frictions; uncertainty; stress test; information design,Insight Grants,Subventions Savoir,Economics,Science économique,Economics,Science économique,Not Subject to Research Classification,Sans objet
95574,"Angeles, Leonora C.",Applicant," $8,086 ",2019,The University of British Columbia,The University of British Columbia,BC,British Columbia,Colombie-Britannique,2019,"Postnationalism and Canada-Philippine Bilateral Relations: Trends, Patterns, Limits and Possibilities of Postnational Citizenships and Transnational Linkages for Development, 1970-2020",trannationalism; postnational citizenship; migration; development aid; trade; investment; bilateral relations; diaspora,Insight Grants,Subventions Savoir,Interdisciplinary Studies,Études pluridisciplinaires,Interdisciplinary Studies,Études pluridisciplinaires,"International Relations, Development and Commerce","Relations internationales, commerce et développement"
95575,"Dionne, Georges",Applicant," $6,944 ",2019,HEC Montréal,HEC Montréal,QC,Quebec,Québec,2019,Applications of machine learning in finance and economics,machine learning; credit risk; high frequency trading; securitization; insurance pricing; causality test; panel data; asymmetric information; statistical test; genetic programming,Insight Grants,Subventions Savoir,"Finance, Banking, Insurance","Finances, assurances, systèmes bancaires","Management, Business, Administrative Studies","Sciences administratives, gestion des affaires et commerce",Financial and Monetary Systems,Systèmes financiers et monétaires
95576,"Reimer-Kirkham, Sheryl M.",Applicant," $18,103 ",2019,Trinity Western University,Trinity Western University,BC,British Columbia,Colombie-Britannique,2019,"Mothering, albinism, and human rights in Africa: Mapping patterns of resilience at the juncture of gender, colourism, and religion",human rights; albinism; resilience; well-being and security; gender; religion; mothierng,Insight Grants,Subventions Savoir,Social Relations,Processus sociaux,Sociology,Sociologie,Women,Femmes
95579,"Diamantoudi, Effrosyni",Applicant," $5,125 ",2019,Concordia University,Université Concordia,QC,Quebec,Québec,2019,International Environmental Agreements -The role of transfers and trade,international environmental agreements; stability; issue linkage; coalition formation,Insight Grants,Subventions Savoir,"Natural Resources, Environment, Energy","Ressources naturelles, environnement, énergie",Economics,Science économique,Environment and Sustainability,Environnement et développement durable
95581,"Lee, Robyn K.",Applicant," $7,033 ",2019,University of Alberta,University of Alberta,AB,Alberta,Alberta,2019,Commodifying care: markets in human milk,ethics; bodily commodification; care work; human milk; breastfeeding,Insight Grants,Subventions Savoir,Sociology,Sociologie,Sociology,Sociologie,Ethics,Éthique
