Unique_ID,FiscalYear,Institution,AmountPaid,Program_Name,Program_Type,Title,Main_Discipline,Area_of_Research
254710.0,2019,Universite de Sherbrooke,100000.0,Canada Research Chairs - CIHR Funded - Tier 1,Award Program,RNA Biology and Cancer Genomics,Biomedical,Cancer
221719.0,2019,University of Calgary,200000.0,Canada Research Chairs - CIHR Funded - Tier 1,Award Program,Intestinal Immunophysiology in Health and Disease,Biomedical,Immunology-transplantation
749026.0,2019,University of Manitoba,200000.0,Canada Research Chairs - CIHR Funded - Tier 1,Award Program,Molecular Cardiolipin Metabolism,Biomedical,Cardiovascular
607097.0,2019,University of Toronto,200000.0,Canada Research Chairs - CIHR Funded - Tier 1,Award Program,Structural Biology and Biochemistry,Biomedical,Molecular biology
655606.0,2019,University of Toronto,200000.0,Canada Research Chairs - CIHR Funded - Tier 1,Award Program,Cardiac Regeneration,Biomedical,Cardiovascular
327781.0,2019,McGill University,31500.0,CIHR MD/PhD Program Grants,Grant Program,MD/PhD Program Grant (starting in 2013-14),Biomedical,Biomedical engineering and medicines
612406.0,2019,McMaster University,10500.0,CIHR MD/PhD Program Grants,Grant Program,MD/PhD Program Grant (starting in 2013-14),Biomedical,Biomedical engineering and medicines
775630.0,2019,Queen's University,15750.0,CIHR MD/PhD Program Grants,Grant Program,MD/PhD Program Grant (starting in 2013-14),Biomedical,Biomedical engineering and medicines
607148.0,2019,Université de Montréal,10500.0,CIHR MD/PhD Program Grants,Grant Program,MD/PhD Program Grant (starting in 2013-14),Biomedical,Biomedical engineering and medicines
150105.0,2019,University of British Columbia,38500.0,CIHR MD/PhD Program Grants,Grant Program,MD/PhD Program Grant (starting in 2013-14),Biomedical,Biomedical engineering and medicines
926251.0,2019,University of Alberta,10500.0,CIHR MD/PhD Program Grants,Grant Program,MD/PhD Program Grant (starting in 2013-14),Biomedical,Biomedical engineering and medicines
814502.0,2019,University of Calgary,21000.0,CIHR MD/PhD Program Grants,Grant Program,MD/PhD Program Grant (starting in 2013-14),Biomedical,Biomedical engineering and medicines
903244.0,2019,University of Ottawa,10500.0,CIHR MD/PhD Program Grants,Grant Program,MD/PhD Program Grant (starting in 2013-14),Biomedical,Biomedical engineering and medicines
780277.0,2019,University of Western Ontario,15750.0,CIHR MD/PhD Program Grants,Grant Program,MD/PhD Program Grant (starting in 2013-14),Clinical,Biomedical engineering and medicines
628385.0,2019,University of Manitoba,10500.0,CIHR MD/PhD Program Grants,Grant Program,MD/PhD Program Grant (starting in 2013-14),Biomedical,Biomedical engineering and medicines
690762.0,2019,University of Toronto,78750.0,CIHR MD/PhD Program Grants,Grant Program,MD/PhD Program Grant (starting in 2013-14),Biomedical,Biomedical engineering and medicines
158468.0,2019,McGill University,200000.0,Canada Research Chairs - CIHR Funded - Tier 1,Award Program,Canada Research Chair in Cell-Matrix Biology,Biomedical,Cell biology
199569.0,2019,Universite de Sherbrooke,150000.0,Canada Research Chairs - CIHR Funded - Tier 1,Award Program,EXERCISE RECOMMENDATIONS IN HEALTHY AGING,Social/Cultural/Environmental/Population Health,Aging
424504.0,2019,Dalhousie University,200000.0,Canada Research Chairs - CIHR Funded - Tier 1,Award Program,Oncogenesis and Metastasis,Biomedical,Cancer-cancer progression and metastasis
107244.0,2019,University of British Columbia,200000.0,Canada Research Chairs - CIHR Funded - Tier 1,Award Program,Human Vision and Eye Movement,Biomedical,Imaging
163817.0,2019,University of British Columbia,200000.0,Canada Research Chairs - CIHR Funded - Tier 1,Award Program,Chronic Obstructive Pulmonary Disease (COPD),Clinical,"Cardiovascular, respiratory and circulatory systems-cardiovascular and circulatory sciences"
640339.0,2019,Université de Montréal,200000.0,Canada Research Chairs - CIHR Funded - Tier 1,Award Program,Diabetes and Pancreatic Beta-cell Function,Biomedical,Cell biology
46854.0,2019,Université de Montréal,200000.0,Canada Research Chairs - CIHR Funded - Tier 1,Award Program,Nucleosome Assembly and Genome Integrity,Biomedical,Molecular biology
412534.0,2019,Université de Montréal,200000.0,Canada Research Chairs - CIHR Funded - Tier 1,Award Program,Neurosciences,Biomedical,Neurosciences-neurological disorders
588011.0,2019,Université de Montréal,200000.0,Canada Research Chairs - CIHR Funded - Tier 1,Award Program,Predictive Genomics,Biomedical,Genetics
648492.0,2019,Université Laval,200000.0,Canada Research Chairs - CIHR Funded - Tier 1,Award Program,Influenza and Other Respiratory Viruses,Biomedical,Viral
791653.0,2019,McGill University,200000.0,Canada Research Chairs - CIHR Funded - Tier 1,Award Program,Translational Visual Science,Biomedical,Imaging
886056.0,2019,McMaster University,200000.0,Canada Research Chairs - CIHR Funded - Tier 1,Award Program,Allergy & Immune Tolerance,Biomedical,Immunology-transplantation
471966.0,2019,McMaster University,200000.0,Canada Research Chairs - CIHR Funded - Tier 1,Award Program,Human Stem Cell Biology,Biomedical,Cell biology
157297.0,2019,University of Toronto,200000.0,Canada Research Chairs - CIHR Funded - Tier 1,Award Program,Matrix Dynamics,Biomedical,Multidisciplinary
37231.0,2019,University of Toronto,200000.0,Canada Research Chairs - CIHR Funded - Tier 1,Award Program,"Proteomics, Bioinformatics and Functional Genomics",Biomedical,"Genomics, proteomics, and bioinformatics"
403924.0,2019,Ottawa Hospital Research Institute,57477.0,Operating Grant,Grant Program,A Longitudinal Study of Age-Related Eye Disease and Cognitive Decline,Clinical,Aging
267377.0,2019,Sinai Health System,112350.0,Operating Grant,Grant Program,Evaluating Collaborative Care for Postpartum Depression in Pediatric Primary Care Settings (EPDS Trial),Clinical,Health research
917785.0,2019,University of Calgary,1000000.0,Institute Support Grant,Grant Program,"The Institute Support Grant for the CIHR Institute of Cancer Research (ICR), a constituent Institute of the Canadian Institutes of Health Research",Biomedical,Cancer
734454.0,2019,University of Manitoba,122875.0,Team Grant: Roadmap Signature Initiative: Inflammation in Chronic Disease - Health Challenges in Chronic Inflammation Initiative - (Full Application),Grant Program,Defining the burden and managing the effects of psychiatric comorbidity in chronic immunoinflammatory disease,Health systems/services,Immunology-transplantation
733909.0,2019,University of Calgary,122849.0,Team Grant: Roadmap Signature Initiative: Inflammation in Chronic Disease - Health Challenges in Chronic Inflammation Initiative - (Full Application),Grant Program,Brain Dysfunction in Chronic Inflammatory Disease: Reciprocal Effects of CNS and Periphery Crosstalk,Clinical,Neurosciences-neurological disorders
985646.0,2019,University of Calgary,122875.0,Team Grant: Roadmap Signature Initiative: Inflammation in Chronic Disease - Health Challenges in Chronic Inflammation Initiative - (Full Application),Grant Program,"A Multidisciplinary Approach To Target Chronic Inflammation Of The Gut, Liver And Joint.",Biomedical,Immunology and infection-immunology and autoimmune diseases (including rheumatology)
866295.0,2019,Hospital for Sick Children,122860.0,Team Grant: Roadmap Signature Initiative: Inflammation in Chronic Disease - Health Challenges in Chronic Inflammation Initiative - (Full Application),Grant Program,NADPH oxidase function in the pathogenesis of pediatric IBD and JIA,Biomedical,Genetics
147172.0,2019,Vancouver Coastal Health Research Institute,122801.0,Team Grant: Roadmap Signature Initiative: Inflammation in Chronic Disease - Health Challenges in Chronic Inflammation Initiative - (Full Application),Grant Program,"PRECISION: Preventing Complications from Inflammatory Skin, Joint and Bowel Conditions",Social/Cultural/Environmental/Population Health,Health research
719706.0,2019,Dalhousie University,122871.0,Team Grant: Roadmap Signature Initiative: Inflammation in Chronic Disease - Health Challenges in Chronic Inflammation Initiative - (Full Application),Grant Program,Restitution Enhancement in Arthritis and Chronic Heart disease,Clinical,Health research
79578.0,2019,University of Toronto,122409.0,Team Grant: Roadmap Signature Initiative: Inflammation in Chronic Disease - Health Challenges in Chronic Inflammation Initiative - (Full Application),Grant Program,Nod-like receptors: linking innate immunity and inflammation to chronic disease,Biomedical,Immunology and infection-immunology and autoimmune diseases (including rheumatology)
871834.0,2019,University of Calgary,122875.0,Team Grant: Roadmap Signature Initiative: Inflammation in Chronic Disease - Health Challenges in Chronic Inflammation Initiative - (Full Application),Grant Program,Intravascular Immunity In Chronic Inflammatory Lung Diseases,Biomedical,Immunology and infection-immunology and autoimmune diseases (including rheumatology)
267574.0,2019,University of Ottawa,122875.0,Team Grant: Roadmap Signature Initiative: Inflammation in Chronic Disease - Health Challenges in Chronic Inflammation Initiative - (Full Application),Grant Program,"Insights into Parkinson's disease, Crohn's disease, and leprosy: a common role for LRRK2",Biomedical,Health research
866743.0,2019,University of Calgary,150000.0,Scientific Director Research Program Supplement,Grant Program,Scientific Director Supplement Grant,Biomedical,Genetics
729356.0,2019,Ontario HIV Treatment Network,159108.0,"CIHR Centres for HIV/AIDS, Hepatitis C and other STBBIs Population Health and Health Services Research",Grant Program,CIHR Centre for REACH in HIV/AIDS,Social/Cultural/Environmental/Population Health,Epidemiology
418019.0,2019,B.C. Centre for Excellence in HIV/AIDS,90803.0,"CIHR Centres for HIV/AIDS, Hepatitis C and other STBBIs Population Health and Health Services Research",Grant Program,Canadian HIV Observational Cohort (CANOC) Collaborative Research Centre,Health systems/services,Epidemiology
164689.0,2019,Simon Fraser University,25000.0,CIHR New Investigator,Award Program,Development and application of new tools and assays to enhance discovery and translation in cancer genomics,Biomedical,Cancer-cancer drug development and therapeutics
11499.0,2019,University of British Columbia,55000.0,CIHR New Investigator,Award Program,Non-invasive treatments to improve disease symptoms and cartilage health for knee osteoarthritis,Clinical,Health research
539403.0,2019,St. Michael's Hospital,15000.0,CIHR New Investigator,Award Program,Identifying the role of silent information regulator (Sirt1) in ventricular remodeling using genetic ablation and pharmacological strategies.,Biomedical,"Cardiovascular, respiratory and circulatory systems-cardiovascular and circulatory sciences"
190246.0,2019,Centre hospitalier universitaire Sainte-Justine,55000.0,CIHR New Investigator,Award Program,Epidemiology of viral transmission: the case human papillomavirus (HPV) transmitted perinatally and of human herpes virus (HHV) transmitted through transfusion,Clinical,Viral
74413.0,2019,Centre Hospitalier Universitaire de Quebec,20000.0,CIHR New Investigator,Award Program,Functions of platelets and microparticles in inflammation,Biomedical,Immunology and infection-immunology and autoimmune diseases (including rheumatology)
854307.0,2019,University of British Columbia,25000.0,CIHR New Investigator,Award Program,Control of cell division by RHAMM in child development and human health,Biomedical,"Molecular, cellular and systems biology-cell signaling"
651945.0,2019,Universite de Sherbrooke,15000.0,CIHR New Investigator,Award Program,The control of interlimb coordination in health and disease,Biomedical,Health research
185473.0,2019,St. Michael's Hospital,55000.0,CIHR New Investigator,Award Program,Improving Outcomes After Major Non-Cardiac Surgery: An Integrated Research Program,Clinical,"Medical research, hospital treatment, surgery"
