Unique_ID,CompetitionFY,Institution,Total_Amount,Program_Name,Program_Type,Title,Main_Discipline,Area_of_Research
541102-2019,2019,University of Toronto,1125.0,,Research Training and Talent Development,Extreme Optics: Ultra-Intense Laser-Matter Interaction Physics,Energy resources,Physics
544683-2019,2019,Collège de Maisonneuve,1170.0,,Research Partnerships,Étude de la stabilité des saveurs et des odeurs de 5 recettes de Gin,Manufacturing processes and products,Vegetable biology and trees
538810-2019,2019,Collège Shawinigan,1171.0,,Research Partnerships,Mission sur les possibilités de collaboration CNETE-Suez,Northern development,Cognitive science -- fundamental
542204-2019,2019,Robogals North America,1303.0,,Research Training and Talent Development,Robogals NA Science Odyssey Supplement,"Health, education and social services",Plant and treebiology
545073-2019,2019,Centennial College,1331.0,,Research Partnerships,Industry Networking to Address Design Challenges in Orthopaedic Surgeries,Information and communication services,Biomedical engineering
544151-2019,2019,Collège de Maisonneuve,1350.0,,Research Partnerships,"Développement d'une chaîne de valorisation du son  de blé, coproduit de la farine de blé québécoise haut de gamme",Commercial services,Food science and technology
542133-2019,2019,Université du Québec à Chicoutimi,1406.0,,Research Training and Talent Development,Mesurer l'abondance des champignons mycorhiziens chez le bleuet nain,"Construction, urban and rural planning",Plant and treebiology
542497-2019,2019,University of Manitoba,1458.0,,Research Training and Talent Development,Analyzing Pan-Arctic Fresh Water Discharge Trends Coupled with Ocean Models,Environment,Hydrology
549096-2019,2019,Cégep de l'Abitibi-Témiscamingue,1470.0,,Research Partnerships,Présentation orale du Projet de recherche intitulé: L'effet du biochar sur des maladies du sol de la pomme de terre,Commercial services,Cognitive science -- fundamental
544761-2019,2019,Fanshawe College of Applied Arts & Technology,1525.0,,Research Partnerships,Research Partner Networking Event,Information and communication services,Communications networks
540058-2019,2019,University of Manitoba,1687.0,,Research Training and Talent Development,Identifying health benefits of agriculture products,Agriculture and primary food production,Animal biology
549558-2019,2019,Collège de Maisonneuve,1755.0,,Research Partnerships,Explorer une collaboration de recherche avec Zeton Inc,Manufacturing processes and products,Chemical engineering
546348-2019,2019,Cégep de la Gaspésie et des Îles,1802.0,,Research Partnerships,"Visites stratégiques de Merinov aux entreprises Eurofins Environex Inc., et Microbios Analytique Inc.",Agriculture and primary food production,Microbiology
549289-2019,2019,Cégep de Baie-Comeau,1965.0,,Research Partnerships,"Hemp 1812, l'industrie du chanvre et la micropropagation",Manufacturing processes and products,Cell biology
548838-2019,2019,Cégep de Saint-Laurent,2000.0,,Research Partnerships,Journée thématique de l'eau,Commercial services,Civil engineering
SAPPJ-2019-00035-2,2019,TRIUMF,2000.0,,Discovery Research,SNO+ Data Analysis and Operations,Environment,Physics
547635-2019,2019,Cégep de l'Outaouais,2160.0,,Research Partnerships,Laboratoire Identité Numérique - Est,Information and communication services,Biomedical engineering
538193-2019,2019,Université Laval,2200.0,,Research Training and Talent Development,Attraction chimique se lance dand L'Odyssée des sciences,Environment,Analytical chemistry
547634-2019,2019,Cégep de Trois-Rivières,2212.0,,Research Partnerships,Rencontre avec Poisson Salés Gaspésiens,Energy resources,Chemical engineering
541424-2019,2019,Fraser Valley,2222.0,,Research Training and Talent Development,Promoting interest in science and post-secondary education in Indigenous communities and schools,The socioeconomic objective available,Plant ecology
544756-2019,2019,Cégep de l'Outaouais,2250.0,,Research Partnerships,Rencontre des partenaires du milieu du travail en biotechnologie,The socioeconomic objective available,Biochemical engineering
540137-2019,2019,University of Western Ontario,2349.0,,Research Partnerships,"Mineralogical and Geochemical Study of the Ni-Cu-Co-Au-Ag-PGE Sulfides of the Discovery Zone, Nickel Mountain Gabbro Complex, British Columbia",Natural resources (economic aspects),Earth science
538990-2019,2019,McGill University,2362.0,,Research Training and Talent Development,Isolation of novel bacteria by cryo-ichip,Environment,Microbiology
540689-2019,2019,University of Calgary,2418.0,,Research Training and Talent Development,Characterization of Xenopus laevis DHAP acyltransferase,Agriculture and primary food production,Biochemistry
543408-2019,2019,Cégep de Saint-Hyacinthe,2431.0,,Research Partnerships,Déplacement d'affaires pour le développement de relations /projets de recherche,Manufacturing processes and products,Plant ecology
544434-2019,2019,Humber College Institute of Technology & Advanced Learning,2487.0,,Research Partnerships,Industry Breakfast: Cybersecurity,Information and communication services,Biomedical engineering
548936-2019,2019,Collège Shawinigan,2500.0,,Research Partnerships,Rendez-vous des technologies vertes,The socioeconomic objective available,Industrial engineering
545446-2019,2019,Science FUNdamentals Foundation of Alberta,2500.0,,Research Training and Talent Development,Science FUNdamentals Classroom Programming,The socioeconomic objective available,Chemical engineering
539890-2019,2019,Institut national de la recherche scientifique,2531.0,,Research Training and Talent Development,Bayesian learning for ranking and rating,Manufacturing processes and products,Statistics and probability
539448-2019,2019,University of Waterloo,2531.0,,Research Training and Talent Development,Symmetric group actions and percentages of orbits on hyperplanes,Transportation systems and services,Pure mathematics
538279-2019,2019,University of Lethbridge,2550.0,,Research Training and Talent Development,Family STEM Night,"Health, education and social services",Pure mathematics
544993-2019,2019,Memorial University of Newfoundland,2570.0,,Research Training and Talent Development,Renewable Energy Workshops and Activities,Energy resources,Environmental engineering
