Unique_ID,CompetitionFY,Institution,Total_Amount,Program_Name,Program_Type,Title,Main_Discipline,Area_of_Research
546076-2020,2020,Georgia Institute of Technology,22500.0,Postdoctoral Fellowships,Training programs,Geometric properties of the mapping class group,The socioeconomic objective available,Pure mathematics
534131-2019,2019,McGill University,35000.0,Alexander Graham Bell Canada Graduate Scholarships - Doctoral,Training programs,Investigating the causes of deoxygenation in the St. Lawrence Estuary and Gulf,Environment,Oceanography
RGPIN-2019-04947,2019,Memorial University of Newfoundland,25000.0,Discovery Grants Program - Individual,Discovery grants programs,Investigating the role and chemical nature of dissolved organic matter in marine environments,Environment,Oceanography
RGPIN-2020-04273,2020,École Polytechnique de Montréal,31000.0,Discovery Grants Program - Individual,Discovery grants programs,Integrating impacts from marine plastics in Life Cycle Assessment,Northern development,Environmental engineering
1000232748,2019,Dalhousie University,75000.0,Canada Research Chairs,Discovery grants programs,Marine Microbial Proteomics,Environment,Oceanography
RTI-2021-00138,2021,Dalhousie University,105789.0,Research Tools and Instruments,Discovery grants programs,Renewal of essential flow cytometry instrumentation for the study of marine microbes,Environment,Evolution and ecology
RGPIN-2020-05002,2020,Memorial University of Newfoundland,88000.0,Discovery Grants Program - Individual,Discovery grants programs,Intelligent decision support for marine oil spill response in harsh environments,Environment,Environmental engineering
RGPIN-2020-06384,2020,Université Laval,75000.0,Discovery Grants Program - Individual,Discovery grants programs,How do Arctic microalgae thrive in the chaotic light field of in-ice and under-ice marine habitats?,Environment,Oceanography
RGPIN-2019-05417,2019,University of Saskatchewan,36000.0,Discovery Grants Program - Individual,Discovery grants programs,Cr and U isotope perspectives on Earth's oxygenation history informed by studies of their modern cycles,Environment,Geochemistry and geochronology
534881-2019,2019,University of Waterloo,21000.0,Postgraduate Scholarships - Doctoral,Training programs,Markerless Biomechanical Analysis via Deep Learning on Mobile Devices,"Health, education and social services",Biomedical engineering
535489-2019,2019,University of British Columbia,35000.0,Alexander Graham Bell Canada Graduate Scholarships - Doctoral,Training programs,Using Data to Inform Market Design for Complex Environments,Information and communication services,Artificial intelligence
RGPIN-2019-04488,2019,Université de Montréal,20000.0,Discovery Grants Program - Individual,Discovery grants programs,Markov chain Monte Carlo algorithms and locally informed proposal distributions,Information and communication services,Statistics and probability
551076-2020,2020,Institut national de la recherche scientifique,50000.0,Alliance Grants,Research partnerships programs,Development of single-pixel infrared imaging thermometry (SPIRIT) for fast and accurate COVID-19 fever screening_x000d_,"Health, education and social services",Physics
546324-2019,2019,Cégep de Trois-Rivières,77950.0,Applied Research and Development Grants - Level 2,Research partnerships programs,Development of removable cores for high pressure die casting,Manufacturing processes and products,Materials science and technology
RGPIN-2020-06170,2020,University of British Columbia,48000.0,Discovery Grants Program - Individual,Discovery grants programs,Enabling technologies for high performance mass spectrometry applications,Northern development,Analytical chemistry
RGPIN-2019-06833,2019,University of Toronto,34000.0,Discovery Grants Program - Individual,Discovery grants programs,Using trapped ion mobility to synchronize ions in data-independent acquisition (DIA) mass spectrometry,Information and communication services,Biochemistry
RGPIN-2020-04332,2020,University of Saskatchewan,36000.0,Discovery Grants Program - Individual,Discovery grants programs,New surface-modified nanoparticles as matrices to enhance mass spectrometric analysis of substance of abuse by matrix assisted laser desorption ionization,Transportation systems and services,Analytical chemistry
539026-2019,2019,University of Ottawa,160000.0,Collaborative Research and Development Grants,Research partnerships programs,"Laser ablation and ionization for nano-mass cytometry_x000d_
_x000d_
_x000d_",Manufacturing processes and products,Physics
535056-2019,2019,University of Toronto,21000.0,Postgraduate Scholarships - Doctoral,Training programs,Development of laser-based Mass Spectrometry devices for accelerated cancer pathology assessment,"Health, education and social services",Physics
534783-2019,2019,University of Toronto,21000.0,Postgraduate Scholarships - Doctoral,Training programs,Studying the Effect of Solvation on Intrinsic Photophysical Properties using Mass Spectrometry and Laser Spectroscopy,Energy resources,Physical chemistry
544268-2020,2020,Massachusetts Institute of Technology,21000.0,Postgraduate Scholarships - Doctoral,Training programs,Illuminating the dark metabolome via deep learning and probabilistic graphical models,"Health, education and social services",Artificial intelligence
550059-2020,2020,University of Victoria,50000.0,Alliance Grants,Research partnerships programs,"Localized Surface Plasmon Platform for COVID-19 Screening_x000d_
_x000d_","Health, education and social services",Analytical chemistry
RGPIN-2020-04999,2020,Laurentian University of Sudbury,33000.0,Discovery Grants Program - Individual,Discovery grants programs,Capture and mitigation of small point source CO2 emissions using regional bioprospected microalgae,Northern development,Chemical engineering
RGPIN-2019-06429,2019,Thompson Rivers University,15000.0,Discovery Grants Program - Individual,Discovery grants programs,"Matching extensions in graphs and hypergraphs: structures, algorithms and characterizations",Manufacturing processes and products,Pure mathematics
535198-2019,2019,Université de Sherbrooke,35000.0,Alexander Graham Bell Canada Graduate Scholarships - Doctoral,Training programs,Impédance optimale pour un lit personnalisé par lattes transversales,Manufacturing processes and products,Mechanical engineering
532439-2019,2019,University of Toronto,45000.0,Postdoctoral Fellowships,Training programs,Development of Cathode Materials for Advance Sodium Ion  Batteries,Energy resources,Materials science and technology
534870-2019,2019,University of Windsor,21000.0,Postgraduate Scholarships - Doctoral,Training programs,Stretchable and Self-Healable Materials via Dynamic Interactions,Manufacturing processes and products,Materials science and technology
546765-2020,2020,University of Windsor,21000.0,Postgraduate Scholarships - Doctoral,Training programs,Membrane-Interface-Elastomer Structures: Multilayered Composite Substrates for Stretchable and Wearable Devices,"Health, education and social services",Materials science and technology
532410-2019,2019,University of Oxford,21000.0,Postgraduate Scholarships - Doctoral,Training programs,Defect Formation in High Strength Nickel-Based Superalloys During Laser Based Additive Manufacturing_x000d_,Manufacturing processes and products,Materials science and technology
534310-2019,2019,McMaster University,35000.0,Alexander Graham Bell Canada Graduate Scholarships - Doctoral,Training programs,Study of the Potential Thermoelectric Material Zinc-Antimonide (Zn13Sb10) and relative phases,Manufacturing processes and products,Inorganic chemistry
547456-2020,2020,Dalhousie University,35000.0,Alexander Graham Bell Canada Graduate Scholarships - Doctoral,Training programs,Hydride Terminated Mesoporous Silicon Nanoparticles for the Degradation and Trapping of Perfluorinated Compounds,Energy resources,Materials science and technology
535728-2019,2019,Ryerson University,35000.0,Alexander Graham Bell Canada Graduate Scholarships - Doctoral,Training programs,Development of a novel lightweight high-strength magnesium matrix nano-composite using ultrasonic melt processing,Manufacturing processes and products,Materials science and technology
RGPIN-2020-05293,2020,Wilfrid Laurier University,29000.0,Discovery Grants Program - Individual,Discovery grants programs,Synthesis and Self-Assembly of New Polycyclic Aromatic Hydrocarbons,Manufacturing processes and products,Organic chemistry
RGPIN-2019-04185,2019,University of Waterloo,31000.0,Discovery Grants Program - Individual,Discovery grants programs,Integration of imaging and mechanics for advanced material characterization and structural repair,"Construction, urban and rural planning",Civil engineering
535639-2019,2019,Wilfrid Laurier University,35000.0,Alexander Graham Bell Canada Graduate Scholarships - Doctoral,Training programs,Design and Synthesis of New Supramolecular Materials,Manufacturing processes and products,Organic chemistry
RGPIN-2020-06013,2020,University of Toronto,76000.0,Discovery Grants Program - Individual,Discovery grants programs,Biomaterials by design,"Health, education and social services",Biomedical engineering
532404-2019,2019,Carnegie Mellon University,21000.0,Postgraduate Scholarships - Doctoral,Training programs,Mathematical Modelling of High Frequency Traders,Environment,Applied mathematics
545528-2020,2020,University of Washington,21000.0,Postgraduate Scholarships - Doctoral,Training programs,Forming Compact Neural Representations through Local Synaptic Learning Rules,Information and communication services,Artificial intelligence
546941-2020,2020,Queen's University,35000.0,Alexander Graham Bell Canada Graduate Scholarships - Doctoral,Training programs,Novel Modelling and Global Optimization Techniques for the Design and Operation of Microgrids,Energy resources,Industrial engineering
534671-2019,2019,University of Waterloo,21000.0,Postgraduate Scholarships - Doctoral,Training programs,Understanding Topological Holography,Manufacturing processes and products,Theoretical physics and chemistry
RGPIN-2020-04782,2020,Wilfrid Laurier University,18000.0,Discovery Grants Program - Individual,Discovery grants programs,Financial Risk Modelling and Analysis,Commercial services,Applied mathematics
553982-2020,2020,Simon Fraser University,50000.0,Alliance Grants,Research partnerships programs,"Real-time Identification of the Covid-19 Pandemic: Intelligent Toolset to Predict and Optimally Control Viral Outbreaks_x000d_
_x000d_
_x000d_",Environment,Systems engineering
RGPIN-2019-05570,2019,University of Saskatchewan,17000.0,Discovery Grants Program - Individual,Discovery grants programs,Symmetry methods and their applications to the analysis of modern mathematical models,Transportation systems and services,Applied mathematics
532181-2019,2019,Czech Technical University,45000.0,Postdoctoral Fellowships,Training programs,Superintegrable Hamiltonian systems admitting nonzero electromagnetic fields,Information and communication services,Applied mathematics
RGPIN-2020-06311,2020,Université du Québec à Montréal,31000.0,Discovery Grants Program - Individual,Discovery grants programs,Algorithms for large-scale discrete optimization problems arising in logistics and machine learning,Transportation systems and services,Applied mathematics
547760-2020,2020,University of Ottawa,35000.0,Alexander Graham Bell Canada Graduate Scholarships - Doctoral,Training programs,Metabolic modelling of quantitative lipidomics data to infer enzymatic disruptions in the lipidome,"Health, education and social services",Biochemistry
RGPIN-2019-04824,2019,University of Waterloo,23000.0,Discovery Grants Program - Individual,Discovery grants programs,Beyond Deep Associative learning,Information and communication services,Artificial intelligence
RGPIN-2019-06886,2019,Simon Fraser University,42000.0,Discovery Grants Program - Individual,Discovery grants programs,"Numerical analysis and high-accuracy algorithms for scattering, spectra, and interdisciplinary applications.","Health, education and social services",Applied mathematics
534421-2019,2019,McGill University,35000.0,Alexander Graham Bell Canada Graduate Scholarships - Doctoral,Training programs,Graphe de recombinaison ancestral contraint : modélisation et inférence.,Environment,Statistics and probability
RGPIN-2019-05336,2019,McGill University,55000.0,Discovery Grants Program - Individual,Discovery grants programs,"Systems, Control and Mean Field Games on Networks",Energy resources,Electrical and electronic engineering
RGPIN-2020-06290,2020,University of Toronto,26000.0,Discovery Grants Program - Individual,Discovery grants programs,"Mean Field Games, Information Design and Evolutionary Finance",Environment,Applied mathematics
555212-2020,2020,École de technologie supérieure,50000.0,Alliance Grants,Research partnerships programs,"Detection of COVID-19 in Intelligent Building Occupancy Management_x000d_
_x000d_
_x000d_
_x000d_
_x000d_","Health, education and social services",Robotics
549668-2020,2020,University of Victoria,207800.0,Collaborative Health Research Projects,Research partnerships programs,Integrating a low-barrier drug checking platform into public health responses to overdose,Manufacturing processes and products,Physical chemistry
RGPIN-2020-05340,2020,University of Manitoba,28000.0,Discovery Grants Program - Individual,Discovery grants programs,High throughput and accuracy single cell dielectric analysis and dielectric dyes,Manufacturing processes and products,Electrical and electronic engineering
RTI-2021-00282,2021,University of British Columbia,89938.0,Research Tools and Instruments,Discovery grants programs,High Accuracy Non-Optical Motion Capture,Information and communication services,Information technology
RGPIN-2019-05856,2019,University of Manitoba,40000.0,Discovery Grants Program - Individual,Discovery grants programs,Understanding complex interactions between flavour precursors in meat-pulse products using a flavouromics platform,Manufacturing processes and products,Food science and technology
548170-2020,2020,Ryerson University,35000.0,Alexander Graham Bell Canada Graduate Scholarships - Doctoral,Training programs,A Comprehensive Mechanical and Fatigue characterization of Natural/Synthetic Fiber Hybrid Composites for Load Bearing Applications,Transportation systems and services,Mechanical engineering
546133-2020,2020,University of Leeds,45000.0,Postdoctoral Fellowships,Training programs,Surgical Robotics: Robust Autonomous Grasping of Biopsy Samples Using a Magnetic Microgripper,"Health, education and social services",Robotics
534880-2019,2019,University of Calgary,21000.0,Postgraduate Scholarships - Doctoral,Training programs,Structural Optimization of Liquefying Fuels for Hybrid Rocket Motor Applications,Natural resources (economic aspects),Mechanical engineering
RGPIN-2019-07146,2019,University of Toronto,73000.0,Discovery Grants Program - Individual,Discovery grants programs,From micro- to macro-scale characterization of geomaterials: the role of heterogeneities and scale in geomechanics,"Construction, urban and rural planning",Mining and mineral processing
535651-2019,2019,University of Toronto,35000.0,Alexander Graham Bell Canada Graduate Scholarships - Doctoral,Training programs,Enhanced piezoelectric property of Polyvinylidene Fluoride through thermal and controlled dipole alignment processing,Manufacturing processes and products,Mechanical engineering
RGPIN-2019-04243,2019,University of Saskatchewan,27000.0,Discovery Grants Program - Individual,Discovery grants programs,Computational model to investigate upper limb biomechanics,"Health, education and social services",Biomedical engineering
550397-2020,2020,University of Toronto,50000.0,Alliance Grants,Research partnerships programs,"100-Patient Ventilator for COVID-19_x000d_
_x000d_",Manufacturing processes and products,Biomedical engineering
RGPIN-2019-06339,2019,York University,27000.0,Discovery Grants Program - Individual,Discovery grants programs,"Mesoscale piezoelectrically driven mechanisms - design, modeling, fabrication, and control",Transportation systems and services,Mechanical engineering
RGPIN-2019-06924,2019,University of Toronto,28000.0,Discovery Grants Program - Individual,Discovery grants programs,Mechanisms Underlying Children's Processing of Ethical Conflicts:  An Affective Developmental Approach,"Health, education and social services",Psychology
547011-2020,2020,University of Toronto,35000.0,Alexander Graham Bell Canada Graduate Scholarships - Doctoral,Training programs,A transcriptomics investigation of mechanotransduction during human mesenchyaml stem cell differentiation,"Health, education and social services",Molecular biology
532835-2019,2019,Northeastern University,45000.0,Postdoctoral Fellowships,Training programs,Design and control of a hand simulator for the identification of wrist and fingers biomechanics,Information and communication services,Biomedical engineering
535366-2019,2019,University of Western Ontario,35000.0,Alexander Graham Bell Canada Graduate Scholarships - Doctoral,Training programs,Multimodal encoding of identity in human hippocampal neurons,"Health, education and social services",Psychology
532825-2019,2019,NYU School of Medicine,45000.0,Postdoctoral Fellowships,Training programs,Deep learning based image reconstruction for accelerated magnetic resonance imaging,"Health, education and social services",Biomedical engineering
534444-2019,2019,École Polytechnique de Montréal,35000.0,Alexander Graham Bell Canada Graduate Scholarships - Doctoral,Training programs,Development of in-vivo histology with Magnetic Resonance Imaging.,Manufacturing processes and products,Biomedical engineering
546720-2020,2020,University of Calgary,21000.0,Postgraduate Scholarships - Doctoral,Training programs,Improving Liver Stereotactic Body Radiation Therapy,Manufacturing processes and products,Physics
557687-2021,2021,Queen's University,22500.0,Postdoctoral Fellowships,Training programs,"Image Processing Techniques for the Segmentation, Fusion, and Registration of Ultrasound Images from Intracavitary Gynecologic Brachytherapy Procedures","Health, education and social services",Biomedical engineering
1000233099,2019,University of Western Ontario,70000.0,Canada Research Chairs,Discovery grants programs,Chemistry,The socioeconomic objective available,Other studies in natural sciences and engineering
534195-2019,2019,McGill University,21000.0,Postgraduate Scholarships - Doctoral,Training programs,A novel approach to combating bacterial infections by inhibiting an immune evasion mechanism of intracellular bacteria.,Information and communication services,Organic chemistry
532696-2019,2019,Massachusetts Institute of Technology,21000.0,Postgraduate Scholarships - Doctoral,Training programs,Rational Design of Potent Inhibitors of the Mycobacterial Cell Envelope,Information and communication services,Biochemistry
555969-2020,2020,University of Guelph,52956.0,Alliance Grants,Research partnerships programs,"Genetic and epigenetic stability in Cannabis sativa mother plants_x000d_
_x000d_",Agriculture and primary food production,Plant and treebiology
RGPIN-2020-04207,2020,University of Calgary,35000.0,Discovery Grants Program - Individual,Discovery grants programs,Evolution and morphodynamics of proglacial environments,Environment,Earth science
545845-2020,2020,University of Durham,21000.0,Postgraduate Scholarships - Doctoral,Training programs,Artificial Molecular Carriers for the Optimization of Plant Performance,Agriculture and primary food production,Organic chemistry
RGPIN-2019-05133,2019,University of Western Ontario,32000.0,Discovery Grants Program - Individual,Discovery grants programs,Nanostructured Membranes,Energy resources,Fluid mechanics
RGPIN-2019-05644,2019,Ryerson University,33000.0,Discovery Grants Program - Individual,Discovery grants programs,Modelling and Control of Membrane Fouling in Ultrafiltration of Water and Wastewater,Transportation systems and services,Chemical engineering
RGPIN-2020-04489,2020,University of Guelph,58000.0,Discovery Grants Program - Individual,Discovery grants programs,Determinants of membrane protein stability and folding investigated by solid state NMR,"Health, education and social services",Biochemistry
543848-2019,2019,Lakehead University,50000.0,Collaborative Research and Development Grants,Research partnerships programs,"Strategies to Improve Membrane Performance of Drinking Water Productions in Cold Regions_x000d_
_x000d_",Transportation systems and services,Chemical engineering
556918-2020,2020,University of British Columbia,15000.0,Idea to Innovation,Research partnerships programs,Novel antifouling and antibiofilm coating technologies for membrane applications: A market research study,Transportation systems and services,Materials science and technology
RGPIN-2020-04650,2020,University of Saskatchewan,33000.0,Discovery Grants Program - Individual,Discovery grants programs,Evidence-based Synthesis and Advanced Modeling towards Next Generation of Membrane Science and Technology,Environment,Chemical engineering
RGPIN-2020-06406,2020,Carleton University,47000.0,Discovery Grants Program - Individual,Discovery grants programs,Mode of action of membrane-targeting antimicrobial compounds,Agriculture and primary food production,Plant and treebiology
546702-2020,2020,University of Windsor,35000.0,Alexander Graham Bell Canada Graduate Scholarships - Doctoral,Training programs,Measuring Transverse Lipid Diffusion to Determine the Compositional Stability of Lipid Bilayers,"Health, education and social services",Physics
535736-2019,2019,University of Guelph,21000.0,Postgraduate Scholarships - Doctoral,Training programs,"Parallel systems mediate the enhancement of memory consolidation by  cocaine, nicotine and their conditioned stimuli in rats.","Health, education and social services",Psychology
547977-2020,2020,University of Guelph,35000.0,Alexander Graham Bell Canada Graduate Scholarships - Doctoral,Training programs,Involvement of muscarinic cholinergic receptors within the dorsal hippocampus in the destabilization of object-in-place memories,"Health, education and social services",Psychology
RGPIN-2019-04596,2019,University of British Columbia,33000.0,Discovery Grants Program - Individual,Discovery grants programs,Remembering in the Real World: Effects of Emotion,Information and communication services,Psychology
RGPIN-2020-05520,2020,McGill University,28000.0,Discovery Grants Program - Individual,Discovery grants programs,Dynamics of Episodic Memory Networks in the Developing Human Brain,"Health, education and social services",Psychology
547964-2020,2020,University of Western Ontario,21000.0,Postgraduate Scholarships - Doctoral,Training programs,The consequences of retrieval experiences following failed memory recall,Information and communication services,Psychology
RGPIN-2020-04617,2020,Concordia University,50000.0,Discovery Grants Program - Individual,Discovery grants programs,Memory encoding and storage in cortical circuits:  electrophysiological studies,Environment,Psychology
535690-2019,2019,University of Guelph,35000.0,Alexander Graham Bell Canada Graduate Scholarships - Doctoral,Training programs,Investigation of the neural mechanisms underlying novelty-induced object memory destabilization in the perirhinal cortex,"Health, education and social services",Psychology
546667-2020,2020,University of Toronto,21000.0,Postgraduate Scholarships - Doctoral,Training programs,The Impact of Estrogen Loss on Associative Memory in Middle-Aged Women: A Structural and Functional Magnetic Resonance Imaging Study of Spontaneous and Surgically-Induced Menopause,"Health, education and social services",Psychology
547484-2020,2020,University of Waterloo,21000.0,Postgraduate Scholarships - Doctoral,Training programs,On the mnemonic properties of symbols,Information and communication services,Psychology
556504-2020,2020,Cégep John Abbott College,25000.0,Applied Research and Development Grants - Level 1,Research partnerships programs,"Automatisation du processus de création d'environnements immersifs de réalité virtuelle grâce à l'intelligence_x000d_
artificielle",Manufacturing processes and products,Artificial intelligence
547650-2020,2020,University of Ottawa,21000.0,Postgraduate Scholarships - Doctoral,Training programs,Mercury redox cycling by anaerobic and phototrophic bacteria,Environment,Evolution and ecology
549795-2020,2020,Humber College Institute of Technology & Advanced Learning,25000.0,Applied Research and Development Grants - Level 1,Research partnerships programs,Fast sensor pairing for Mero IoT,Commercial services,Electrical and electronic engineering
552028-2020,2020,Humber College Institute of Technology & Advanced Learning,74290.0,Applied Research Rapid Response to COVID-19,Research partnerships programs,"COVID-19 Response: A scalable hand sanitizing sensing solution: IoT enabled hand sanitizer and_x000d_
soap dispensers",Manufacturing processes and products,Electrical and electronic engineering
532428-2019,2019,Université Laval,45000.0,Postdoctoral Fellowships,Training programs,Coral-microbiome: adaptive functional interactions and their influences on coral resilience to environmental change,Environment,Evolution and ecology
RGPIN-2020-05707,2020,McMaster University,40000.0,Discovery Grants Program - Individual,Discovery grants programs,Xenobiotic and microbe stress promote muscle dysfunction,"Health, education and social services",Biochemistry
547790-2020,2020,University of Waterloo,14000.0,Postgraduate Scholarships - Doctoral,Training programs,Development of a framework for identifying critical input parameters for effective pediatric physiologically based toxicokinetic modelling,Environment,Animal biology
RGPIN-2020-06630,2020,McMaster University,64000.0,Discovery Grants Program - Individual,Discovery grants programs,New Advances in Multisegment Injection-Capillary Electrophoresis-Mass Spectrometry for Accelerating Biomarker Discovery in Metabolomics,"Health, education and social services",Analytical chemistry
RGPIN-2020-04895,2020,University of British Columbia,24000.0,Discovery Grants Program - Individual,Discovery grants programs,Development of analytical and bioinformatic tools for mass spectrometry-based untargeted metabolomics,Manufacturing processes and products,Analytical chemistry
546766-2020,2020,University of Toronto,35000.0,Alexander Graham Bell Canada Graduate Scholarships - Doctoral,Training programs,Citronelloid biosynthesis in rose-scented geranium (Pelargonium graveolens),Agriculture and primary food production,Plant and treebiology
534623-2019,2019,University of Waterloo,35000.0,Alexander Graham Bell Canada Graduate Scholarships - Doctoral,Training programs,Microbial function and diversity at a waste management site in Southern Ontario,Commercial services,Evolution and ecology
547600-2020,2020,University of Toronto,35000.0,Alexander Graham Bell Canada Graduate Scholarships - Doctoral,Training programs,Novel Photoresponsive Materials for Carbon Dioxide Capture & Release,Energy resources,Inorganic chemistry
561049-2020,2020,University of Alberta,50000.0,Alliance Grants,Research partnerships programs,"Sensor fusion enabled machine learning for quality and material optimization in robotic additive manufacturing _x000d_
 _x000d_",Manufacturing processes and products,Design and manufacturing
554595-2020,2020,École de technologie supérieure,29999.0,Alliance Grants,Research partnerships programs,Effects of Titanium alloy powder characteristics on the quality of parts produced by additive manufacturing and how to control them_x000d_,Manufacturing processes and products,Design and manufacturing
RGPIN-2020-04487,2020,McGill University,28000.0,Discovery Grants Program - Individual,Discovery grants programs,Pathways of copper acquisition in phytoplankton,Natural resources (economic aspects),Cell biology
RGPIN-2019-04288,2019,Dalhousie University,105000.0,Discovery Grants Program - Individual,Discovery grants programs,Innovations in Cross-coupling via Mechanistically Guided Base-Metal Catalyst Design,Energy resources,Inorganic chemistry
RGPIN-2019-04668,2019,University of Waterloo,27000.0,Discovery Grants Program - Individual,Discovery grants programs,Multiaxial fatigue characterization of anisotropic bone-implant interfaces,"Health, education and social services",Biomedical engineering
RGPIN-2019-07207,2019,Simon Fraser University,29000.0,Discovery Grants Program - Individual,Discovery grants programs,The Design of Novel Chelating Ligands for Unconventional Radiometals,Manufacturing processes and products,Inorganic chemistry
RGPIN-2019-04502,2019,University of British Columbia,50000.0,Discovery Grants Program - Individual,Discovery grants programs,"Quantum Criticality: Topology, Order, and Metallicity",Information and communication services,Condensed matterphysics
RGPIN-2020-06676,2020,University of Western Ontario,64000.0,Discovery Grants Program - Individual,Discovery grants programs,Plasmonic metamaterials: enabling new routes for localized surface chemistry.,"Construction, urban and rural planning",Physical chemistry
534339-2019,2019,Carleton University,21000.0,Postgraduate Scholarships - Doctoral,Training programs,Rigorous Analysis and Simulation of Multi-Metasurface Systems Using the Boundary Element Method (BEM),Environment,Electrical and electronic engineering
547807-2020,2020,University of Manitoba,35000.0,Alexander Graham Bell Canada Graduate Scholarships - Doctoral,Training programs,Electromagnetic Metasurface Design Guided By Machine Learning,Information and communication services,Electrical and electronic engineering
551384-2020,2020,University of Saskatchewan,60199.0,Alliance Grants,Research partnerships programs,"Performance, environmental, and economic benefits of biochar supplementation in beef cattle grazing systems_x000d_
_x000d_
_x000d_",Agriculture and primary food production,Animal biology
539430-2019,2019,University of Waterloo,40774.0,Collaborative Research and Development Grants,Research partnerships programs,"Deployable Electrochemical Methane Sensors for Pipeline Monitoring and Greenhouse Gas Mitigation_x000d_
_x000d_
_x000d_",Environment,Chemical engineering
RGPIN-2020-05606,2020,St. Francis Xavier University,51000.0,Discovery Grants Program - Individual,Discovery grants programs,Measuring the methane footprint of Canadian oil and gas operations,Environment,Atmospheric science
RGPIN-2020-05223,2020,University of Calgary,26000.0,Discovery Grants Program - Individual,Discovery grants programs,A Hybrid Multi-Path Optical Remote Sensing System for Monitoring Fugitive Areal Emission of Methane,Environment,Environmental engineering
RGPIN-2020-05216,2020,McGill University,33000.0,Discovery Grants Program - Individual,Discovery grants programs,Metal nitrides - catalyst and process development towards value added chemicals.,Manufacturing processes and products,Chemical engineering
RGPIN-2020-05712,2020,McMaster University,31000.0,Discovery Grants Program - Individual,Discovery grants programs,Methods and models to combat infiltration of fakes and adulterated products into the supply chain,Manufacturing processes and products,Industrial engineering
RTI-2021-00129,2021,Queen's University,141245.0,Research Tools and Instruments,Discovery grants programs,Critical Replacement of Super Critical Fluid HPLC for Chiral Separations,Environment,Organic chemistry
548134-2020,2020,University of Alberta,21000.0,Postgraduate Scholarships - Doctoral,Training programs,Methylmercury cycling in permafrost peatland catchments,Environment,Physical geography
RTI-2021-00490,2021,University of British Columbia,90491.0,Research Tools and Instruments,Discovery grants programs,Microscope Imaging PAM Fluorometer,Environment,Plant and treebiology
RGPIN-2019-04016,2019,University of British Columbia,28000.0,Discovery Grants Program - Individual,Discovery grants programs,Aging and Reliability Effects Modelling and Mitigation in Nanoelectronics and Sensors,Manufacturing processes and products,Electrical and electronic engineering
RGPIN-2019-06213,2019,Carleton University,48000.0,Discovery Grants Program - Individual,Discovery grants programs,New Metallization Precursors for Microelectronic applications,Manufacturing processes and products,Inorganic chemistry
RGPIN-2020-06606,2020,École Polytechnique de Montréal,28000.0,Discovery Grants Program - Individual,Discovery grants programs,Spin waves in ferromagnetic metallic wires,Information and communication services,Condensed matterphysics
546868-2020,2020,Queen's University,21000.0,Postgraduate Scholarships - Doctoral,Training programs,A Novel Non-invasive Contact Lens for Continuous  Intraocular Pressure Monitoring to Improve Tracking Progression of Glaucoma,"Health, education and social services",Mechanical engineering
RGPIN-2019-06009,2019,University of Saskatchewan,27000.0,Discovery Grants Program - Individual,Discovery grants programs,Deep X-Ray Lithography for High Aspect Ratio Polymer Micro Structures,Manufacturing processes and products,Materials science and technology
535515-2019,2019,University of British Columbia,21000.0,Postgraduate Scholarships - Doctoral,Training programs,The Root of All Stramenopiles: examination of gene regulatory machineries within the free-living heterotrophic stramenopiles,Environment,Evolution and ecology
RGPIN-2020-05258,2020,Université de Montréal,50000.0,Discovery Grants Program - Individual,Discovery grants programs,Maturation of let-7 miRNAs,Agriculture and primary food production,Biochemistry
RGPIN-2019-05864,2019,University of Manitoba,32000.0,Discovery Grants Program - Individual,Discovery grants programs,Molecular Basis and Regulatory Mechanisms of Bacterial Interspecies and Intercellular Interactions,Environment,Microbiology
RGPIN-2020-06874,2020,Institut national de la recherche scientifique,28000.0,Discovery Grants Program - Individual,Discovery grants programs,Ecology of microbial communities in lake ecosystems in transition,Environment,Evolution and ecology
RGPIN-2019-05897,2019,Wilfrid Laurier University,36000.0,Discovery Grants Program - Individual,Discovery grants programs,Exploring microbial biosynthetic pathways,Manufacturing processes and products,Biochemistry
1000232322,2019,University of Calgary,100000.0,Canada Research Chairs,Discovery grants programs,Molecular Ecology of Waterborne Microbes,Environment,Microbiology
1000232886,2019,Queen's University,120000.0,Canada Research Chairs,Discovery grants programs,Plant Immunology,The socioeconomic objective available,Plant and treebiology
RGPIN-2020-06279,2020,École Polytechnique de Montréal,28000.0,Discovery Grants Program - Individual,Discovery grants programs,Bioelectrosynthesis of renewable energy carriers from carbon dioxide,Energy resources,Chemical engineering
534369-2019,2019,McMaster University,35000.0,Alexander Graham Bell Canada Graduate Scholarships - Doctoral,Training programs,"Determining the Genetic Basis of Melanin Production, an Essential Virulence Factor, of the Human Fungal Pathogen Cryptococcus neoformans","Health, education and social services",Microbiology
RGPIN-2019-04778,2019,University of Alberta,78000.0,Discovery Grants Program - Individual,Discovery grants programs,Biosynthesis and conversion of phenolics and taste active compounds in food fermentations,Manufacturing processes and products,Food science and technology
560346-2020,2020,University of Alberta,29350.0,Alliance Grants,Research partnerships programs,Development of sourdough fermentation protocols for an extended mold-free storage life of packaged pan bread _x000d_,Manufacturing processes and products,Food science and technology
RGPIN-2019-04949,2019,McGill University,34000.0,Discovery Grants Program - Individual,Discovery grants programs,Functional nucleic acids for green biosynthesis,Manufacturing processes and products,Analytical chemistry
